operacion;estado;sub;fecha;asesor
5138831;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
4233212;INVESTIGACION;SEGUNDO BARRIDO;20211125;CEGROUP.BARRIDO2
2738389;INVESTIGACION;PRIMER BARRIDO;20220205;CEGROUP.BARRIDO2
3296458;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
4394108;ACUERDO;CUOTAS PARCIALES;20220129;MAYRA.RUIZ
5246130;RENUENTE;SIN INTENSION DE PAGO;20220208;CEGROUP.RENUENTES
3376463;RENUENTE;NO CONTESTA;20220209;CEGROUP.RENUENTES
4831419;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
4097220;INVESTIGACION;SEGUNDO BARRIDO;20210730;CEGROUP.BARRIDO2
4939226;INVESTIGACION;SEGUNDO BARRIDO;20211013;CEGROUP.BARRIDO2
1491852;INVESTIGACION;PRIMER BARRIDO;20220211;CEGROUP.BARRIDO1
922463;INVESTIGACION;SEGUNDO BARRIDO;20211124;CEGROUP.BARRIDO2
4278165;INVESTIGACION;PRIMER BARRIDO;20210913;CEGROUP.BARRIDO1
917645;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
3688833;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
3926951;INVESTIGACION;SEGUNDO BARRIDO;20211125;CEGROUP.BARRIDO2
4591907;INVESTIGACION;SEGUNDO BARRIDO;20211125;CEGROUP.BARRIDO2
4187664;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
4494257;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
2950918;RENUENTE;MENSAJE EXTERNO;20220126;GRUPO.INVESTIGACION
4052481;INVESTIGACION;SEGUNDO BARRIDO;20211214;CEGROUP.BARRIDO2
5347914;RENUENTE;NO CONTESTA;20220211;CEGROUP.RENUENTES
3951586;INVESTIGACION;SEGUNDO BARRIDO;20211001;CEGROUP.BARRIDO2
1606461;INVESTIGACION;SEGUNDO BARRIDO;20210730;CEGROUP.BARRIDO2
3501912;INVESTIGACION;SEGUNDO BARRIDO;20211102;CEGROUP.BARRIDO2
4389381;RENUENTE;NO CONTESTA;20220211;CEGROUP.RENUENTES
3338053;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
1787752;INVESTIGACION;SEGUNDO BARRIDO;20210730;CEGROUP.BARRIDO2
4889323;RENUENTE;SIN INTENSION DE PAGO;20220117;CEGROUP.RENUENTES
2618918;RENUENTE;NO CONTESTA;20220119;CEGROUP.JURIDICO
4059723;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
3152672;INVESTIGACION;PRIMER BARRIDO;20211001;CEGROUP.BARRIDO1
1359462;INVESTIGACION;SEGUNDO BARRIDO;20210522;CEGROUP.BARRIDO2
3721968;INVESTIGACION;PRIMER BARRIDO;20211011;CEGROUP.BARRIDO1
4092117;INVESTIGACION;SEGUNDO BARRIDO;20210901;CEGROUP.BARRIDO2
4661055;RENUENTE;NO CONTESTA;20220210;CEGROUP.RENUENTES
3807584;RENUENTE;NO CONTESTA;20220201;CEGROUP.RENUENTES
2780612;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
4225903;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
3661287;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
4232433;RENUENTE;SIN INTENSION DE PAGO;20220131;CEGROUP.RENUENTES
3188820;RENUENTE;NO CONTESTA;20220209;CEGROUP.RENUENTES
3197409;INVESTIGACION;SEGUNDO BARRIDO;20211214;CEGROUP.BARRIDO2
4598207;ACUERDO;PAGO TOTAL;20220121;GRUPO.INVESTIGACION
742344;RENUENTE;NO CONTESTA;20220209;CEGROUP.RENUENTES
4207759;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
5047633;RENUENTE;NO CONTESTA;20220126;CEGROUP.RENUENTES
1567754;RENUENTE;NUMERO EQUIVOCADO;20220203;CEGROUP.RENUENTES
3291903;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
3252679;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
4126968;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
2526836;INVESTIGACION;SEGUNDO BARRIDO;20210724;CEGROUP.BARRIDO2
4086980;RENUENTE;MENSAJE EXTERNO;20220209;CEGROUP.RENUENTES
4847298;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
4224343;INVESTIGACION;SEGUNDO BARRIDO;20211214;CEGROUP.BARRIDO2
447343;RENUENTE;SIN INTENSION DE PAGO;20220207;CEGROUP.RENUENTES
5015823;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
1690614;INVESTIGACION;PRIMER BARRIDO;20220211;CEGROUP.BARRIDO1
3826754;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
4744392;INVESTIGACION;PRIMER BARRIDO;20220205;CEGROUP.BARRIDO2
4666828;INVESTIGACION;PRIMER BARRIDO;20211028;CEGROUP.BARRIDO1
4781432;RENUENTE;NO CONTESTA;20220203;CEGROUP.RENUENTES
2809318;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
3540070;INVESTIGACION;PRIMER BARRIDO;20220126;CEGROUP.BARRIDO1
2396402;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
4739984;INVESTIGACION;DATOS EXTERNOS SUPER GIROS;20220209;SUPERGIROS1
4040718;INVESTIGACION;SEGUNDO BARRIDO;20211013;CEGROUP.BARRIDO2
4920337;RENUENTE;NO CONTESTA;20220127;CEGROUP.RENUENTES
5251011;INVESTIGACION;PRIMER BARRIDO;20220117;CEGROUP.BARRIDO1
1006487;RENUENTE;NO CONTESTA;20220209;CEGROUP.RENUENTES
4985456;RENUENTE;NO CONTESTA;20220126;CEGROUP.RENUENTES
3479595;INVESTIGACION;PRIMER BARRIDO;20211210;CEGROUP.BARRIDO1
917698;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
3072130;INVESTIGACION;PRIMER BARRIDO;20211008;CEGROUP.BARRIDO1
2809196;RENUENTE;MENSAJE EXTERNO;20220209;CEGROUP.RENUENTES
4354717;RENUENTE;SIN INTENSION DE PAGO;20220129;CEGROUP.RENUENTES
3681744;INVESTIGACION;SEGUNDO BARRIDO;20220125;CEGROUP.BARRIDO2
3989310;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
911339;INVESTIGACION;SEGUNDO BARRIDO;20210902;CEGROUP.BARRIDO2
4538995;ACUERDO;CUOTAS FIJAS;20220128;ANDREA.PUENTES
3761923;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
4975121;INVESTIGACION;PRIMER BARRIDO;20211028;CEGROUP.BARRIDO1
4398125;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
3290814;INVESTIGACION;PRIMER BARRIDO;20220126;CEGROUP.BARRIDO1
2463458;RENUENTE;SIN INTENSION DE PAGO;20220203;CEGROUP.RENUENTES
4771763;RENUENTE;SIN INTENSION DE PAGO;20220126;CEGROUP.RENUENTES
2980573;INVESTIGACION;PRIMER BARRIDO;20211210;CEGROUP.BARRIDO1
3633943;INVESTIGACION;PRIMER BARRIDO;20220126;CEGROUP.BARRIDO1
1546821;RENUENTE;NO CONTESTA;20220210;CEGROUP.RENUENTES
1017387;INVESTIGACION;SEGUNDO BARRIDO;20211017;CEGROUP.BARRIDO2
2772654;RENUENTE;NO CONTESTA;20220203;CEGROUP.RENUENTES
3535252;RENUENTE;NUMERO EQUIVOCADO;20220203;CEGROUP.RENUENTES
3951644;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
4544165;INVESTIGACION;PRIMER BARRIDO;20211125;CEGROUP.BARRIDO1
4628184;RENUENTE;NUMERO EQUIVOCADO;20220126;CEGROUP.RENUENTES
3942769;RENUENTE;INTENSION DE PAGO;20220208;CEGROUP.RENUENTES
528115;INVESTIGACION;PRIMER BARRIDO;20220126;CEGROUP.BARRIDO1
4616289;RENUENTE;SIN INTENSION DE PAGO;20220124;CEGROUP.RENUENTES
4869469;INVESTIGACION;PRIMER BARRIDO;20210914;CEGROUP.BARRIDO1
4393531;RENUENTE;MENSAJE EXTERNO;20220210;CEGROUP.RENUENTES
3897590;INVESTIGACION;PRIMER BARRIDO;20211210;CEGROUP.BARRIDO1
5034769;RENUENTE;SIN INTENSION DE PAGO;20220126;CEGROUP.RENUENTES
4293071;RENUENTE;SIN INTENSION DE PAGO;20220204;CEGROUP.RENUENTES
3947164;RENUENTE;SIN INTENSION DE PAGO;20220210;CEGROUP.RENUENTES
905714;INVESTIGACION;PRIMER BARRIDO;20211215;CEGROUP.BARRIDO1
2870518;RENUENTE;INTENSION DE PAGO;20220211;CEGROUP.RENUENTES
4334598;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
4594207;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
5101847;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
3498653;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
3358771;INVESTIGACION;SEGUNDO BARRIDO;20210714;CEGROUP.BARRIDO2
1140306;INVESTIGACION;PRIMER BARRIDO;20211123;CEGROUP.BARRIDO1
5052228;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
5325640;RENUENTE;MENSAJE EXTERNO;20220211;CEGROUP.RENUENTES
2473852;RENUENTE;MENSAJE EXTERNO;20220203;CEGROUP.RENUENTES
4338425;RENUENTE;SIN INTENSION DE PAGO;20220207;CEGROUP.RENUENTES
3794810;INVESTIGACION;SEGUNDO BARRIDO;20210916;CEGROUP.BARRIDO2
4048694;RENUENTE;SIN INTENSION DE PAGO;20220201;CEGROUP.RENUENTES
187185;RENUENTE;NUMERO EQUIVOCADO;20220209;CEGROUP.RENUENTES
4344753;INVESTIGACION;SEGUNDO BARRIDO;20210901;CEGROUP.BARRIDO2
3677545;INVESTIGACION;SEGUNDO BARRIDO;20220114;CEGROUP.BARRIDO2
4017414;INVESTIGACION;PRIMER BARRIDO;20220125;CEGROUP.BARRIDO1
483713;RENUENTE;SIN INTENSION DE PAGO;20220211;CEGROUP.RENUENTES
2875606;INVESTIGACION;PRIMER BARRIDO;20211203;CEGROUP.BARRIDO1
4443452;INVESTIGACION;PRIMER BARRIDO;20210924;CEGROUP.BARRIDO1
917286;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
2163840;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
5079530;RENUENTE;SIN INTENSION DE PAGO;20220210;CEGROUP.RENUENTES
4637768;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
4857089;RENUENTE;NO CONTESTA;20220210;CEGROUP.RENUENTES
3288614;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
3718902;RENUENTE;SIN INTENSION DE PAGO;20220125;CEGROUP.RENUENTES
2322807;INVESTIGACION;SEGUNDO BARRIDO;20210714;CEGROUP.BARRIDO2
1648736;RENUENTE;NUMERO EQUIVOCADO;20220204;CEGROUP.RENUENTES
2281606;RENUENTE;MENSAJE EXTERNO;20220118;CEGROUP.JURIDICO
4534220;RENUENTE;INTENSION DE PAGO;20220208;CEGROUP.RENUENTES
2506560;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
4875992;INVESTIGACION;SEGUNDO BARRIDO;20210728;CEGROUP.BARRIDO2
3121104;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
196590;RENUENTE;SIN INTENSION DE PAGO;20220205;CEGROUP.RENUENTES
4664493;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
3345162;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
4075158;INVESTIGACION;SEGUNDO BARRIDO;20210929;CEGROUP.BARRIDO2
4081776;INVESTIGACION;SEGUNDO BARRIDO;20210916;CEGROUP.BARRIDO2
4836763;INVESTIGACION;SEGUNDO BARRIDO;20210910;CEGROUP.BARRIDO2
2808528;INVESTIGACION;PRIMER BARRIDO;20220126;CEGROUP.BARRIDO1
2486008;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
2436304;INVESTIGACION;SEGUNDO BARRIDO;20210714;CEGROUP.BARRIDO2
3392458;INVESTIGACION;SEGUNDO BARRIDO;20210714;CEGROUP.BARRIDO2
2367613;RENUENTE;MENSAJE EXTERNO;20220204;CEGROUP.RENUENTES
4634729;INVESTIGACION;SEGUNDO BARRIDO;20211017;CEGROUP.BARRIDO2
4809632;RENUENTE;NO CONTESTA;20220131;CEGROUP.RENUENTES
3076934;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
917276;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
3353465;RENUENTE;NUMERO EQUIVOCADO;20220203;CEGROUP.RENUENTES
4255950;RENUENTE;SIN INTENSION DE PAGO;20220208;CEGROUP.RENUENTES
2814528;INVESTIGACION;SEGUNDO BARRIDO;20210929;CEGROUP.BARRIDO2
2665748;INVESTIGACION;PRIMER BARRIDO;20210826;CEGROUP.BARRIDO1
4751051;INVESTIGACION;SEGUNDO BARRIDO;20211017;CEGROUP.BARRIDO2
3954951;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
4729480;INVESTIGACION;SEGUNDO BARRIDO;20210514;CEGROUP.BARRIDO2
3946877;INVESTIGACION;PRIMER BARRIDO;20210913;CEGROUP.BARRIDO1
4156484;INVESTIGACION;PRIMER BARRIDO;20210913;CEGROUP.BARRIDO1
3721159;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
4159798;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
3419420;INVESTIGACION;SEGUNDO BARRIDO;20220125;CEGROUP.BARRIDO2
187212;RENUENTE;SIN INTENSION DE PAGO;20220211;CEGROUP.RENUENTES
906941;ACUERDO;CUOTAS PARCIALES;20220118;ALEXA.BARRIOS
3804629;ACUERDO;CUOTAS FIJAS;20220201;ANDREA.PUENTES
4243132;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
4826269;INVESTIGACION;SEGUNDO BARRIDO;20210830;CEGROUP.BARRIDO2
3062668;ACUERDO;INCUMPLIDO;20220209;ALEXIS.CONTRERAS
2103916;INVESTIGACION;SEGUNDO BARRIDO;20211001;CEGROUP.BARRIDO2
808562;INVESTIGACION;SEGUNDO BARRIDO;20210706;CEGROUP.BARRIDO2
4692084;RENUENTE;SIN INTENSION DE PAGO;20220131;CEGROUP.RENUENTES
5190060;INVESTIGACION;SEGUNDO BARRIDO;20210929;CEGROUP.BARRIDO2
4615207;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
3342045;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
3632618;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
4696699;RENUENTE;SIN INTENSION DE PAGO;20220129;CEGROUP.RENUENTES
3167782;INVESTIGACION;DATOS EXTERNOS SUPER GIROS;20220209;SUPERGIROS1
3686757;INVESTIGACION;PRIMER BARRIDO;20210913;CEGROUP.BARRIDO1
2550792;RENUENTE;NO CONTESTA;20220209;CEGROUP.RENUENTES
910707;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
2793514;RENUENTE;NO CONTESTA;20220203;CEGROUP.RENUENTES
3784481;ACUERDO;CUOTAS PARCIALES;20220201;MAYRA.RUIZ
2219079;RENUENTE;NUMERO EQUIVOCADO;20220204;CEGROUP.RENUENTES
2587960;RENUENTE;SIN INTENSION DE PAGO;20220209;CEGROUP.RENUENTES
4867280;RENUENTE;NO CONTESTA;20220210;CEGROUP.RENUENTES
4685602;INVESTIGACION;PRIMER BARRIDO;20211001;CEGROUP.BARRIDO1
4684717;INVESTIGACION;PRIMER BARRIDO;20211028;CEGROUP.BARRIDO1
4960292;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
4226324;INVESTIGACION;DATOS EXTERNOS SUPER GIROS;20220209;SUPERGIROS1
5170755;INVESTIGACION;SEGUNDO BARRIDO;20220125;CEGROUP.BARRIDO2
5270469;INVESTIGACION;SEGUNDO BARRIDO;20211017;CEGROUP.BARRIDO2
3349630;RENUENTE;MENSAJE EXTERNO;20220203;CEGROUP.RENUENTES
3552352;RENUENTE;SIN INTENSION DE PAGO;20220129;CEGROUP.RENUENTES
538872;RENUENTE;INTENSION DE PAGO;20220202;PAULA.MEDINA
2244325;INVESTIGACION;SEGUNDO BARRIDO;20210916;CEGROUP.BARRIDO2
4953930;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
4962738;RENUENTE;NO CONTESTA;20220126;CEGROUP.RENUENTES
4954851;RENUENTE;SIN INTENSION DE PAGO;20220124;CEGROUP.RENUENTES
2244447;RENUENTE;NO CONTESTA;20220208;CEGROUP.RENUENTES
5277797;RENUENTE;NO CONTESTA;20220210;CEGROUP.RENUENTES
2677436;RENUENTE;NO CONTESTA;20220203;CEGROUP.RENUENTES
3780919;ACUERDO;CUOTAS PARCIALES;20220201;ANDREA.PUENTES
4253148;RENUENTE;NO CONTESTA;20220211;CEGROUP.RENUENTES
4280060;RENUENTE;SIN INTENSION DE PAGO;20220131;CEGROUP.RENUENTES
4232671;INVESTIGACION;SEGUNDO BARRIDO;20211209;CEGROUP.BARRIDO2
910922;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
4884432;INVESTIGACION;PRIMER BARRIDO;20210913;CEGROUP.BARRIDO1
2103946;INVESTIGACION;PRIMER BARRIDO;20220205;CEGROUP.BARRIDO2
912788;RENUENTE;NUMERO EQUIVOCADO;20220209;CEGROUP.RENUENTES
3620199;INVESTIGACION;PRIMER BARRIDO;20210913;CEGROUP.BARRIDO1
1974221;INVESTIGACION;SEGUNDO BARRIDO;20211001;CEGROUP.BARRIDO2
4040693;RENUENTE;NO CONTESTA;20220202;CEGROUP.RENUENTES
5310038;RENUENTE;NO CONTESTA;20220210;CEGROUP.RENUENTES
4894809;INVESTIGACION;PRIMER BARRIDO;20210913;CEGROUP.BARRIDO1
4638651;RENUENTE;SIN INTENSION DE PAGO;20220211;CEGROUP.RENUENTES
4965908;INVESTIGACION;SEGUNDO BARRIDO;20211017;CEGROUP.BARRIDO2
2650298;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
3847372;INVESTIGACION;SEGUNDO BARRIDO;20210916;CEGROUP.BARRIDO2
3764696;INVESTIGACION;PRIMER BARRIDO;20211214;CEGROUP.BARRIDO1
2721076;INVESTIGACION;PRIMER BARRIDO;20211008;CEGROUP.BARRIDO1
4573843;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
2565873;RENUENTE;MENSAJE EXTERNO;20220209;CEGROUP.RENUENTES
5289746;INVESTIGACION;SEGUNDO BARRIDO;20220125;CEGROUP.BARRIDO2
4019867;RENUENTE;SIN INTENSION DE PAGO;20220202;CEGROUP.RENUENTES
2799995;INVESTIGACION;PRIMER BARRIDO;20220126;CEGROUP.BARRIDO1
4159705;RENUENTE;NO CONTESTA;20220129;CEGROUP.RENUENTES
3359033;INVESTIGACION;SEGUNDO BARRIDO;20210714;CEGROUP.BARRIDO2
3779707;INVESTIGACION;SEGUNDO BARRIDO;20210707;CEGROUP.BARRIDO2
1376018;INVESTIGACION;PRIMER BARRIDO;20210826;CEGROUP.BARRIDO1
5164636;INVESTIGACION;SEGUNDO BARRIDO;20211017;CEGROUP.BARRIDO2
3371690;INVESTIGACION;PRIMER BARRIDO;20211013;CEGROUP.BARRIDO1
2550864;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
2514643;INVESTIGACION;PRIMER BARRIDO;20211023;CEGROUP.BARRIDO1
5270246;INVESTIGACION;SEGUNDO BARRIDO;20211017;CEGROUP.BARRIDO2
